না,na,naah,,
করে,kore,,,
থেকে,theke,,,
এই,ai,ei,eyi,
এ,ea,a,e,
ও,ou',o,,
হয়,hoi,hoye,,
এক,aik,ek,ak,
নিয়ে,nie,niye,,
ওই,oi,oyi,,
হয়েছে,hoiche,hoyeche,hoache,
কিন্তু,kintu,,,
হবে,hove,hobe,,
করা,kora,,,
সঙ্গে,songe,shonge,,
সেই,sei,shei,,
দিন,deen,din,,
আর,ar,aar,,
যে,jei,je,,
তিনি,teeni,tini,,
তাঁর,tar,tanr,,
বলে,bole,,,
তা,ta,taa,,
জন্য,jonno,,,
কোনও,konou,kono,konu,
তার,taar,tar,,
বলেন,volen,bolen,,
হয়ে,hoi,hoe,hoye,
এবং,ewong,abong,ebong,
পুলিশ,poolis,police,,
করতে,korte,krte,,
অভিযোগ,ovijog,obijog,obhijog,
কথা,kotha,katha,,
একটি,akti,ekti,,
ছিল,chilo,chhilo,,
সব,sob,sov,shob,
শুরু,suru,shuru,,
দাবি,dabi,davi,,
পরে,pore,pode,,
যায়,jai,jaye,jay,
এর,ar,aer,er,
মধ্যে,modhye,moddhe,,
তবে,tobe,tove,,
সে,se,she,,
টাকা,taaka,taka,,
দেওয়া,deoa,deowa,,
পর,pr,por,,
ভাবে,bhabe,bhave,,
কিছু,kichhu,kichu,,
দিয়ে,die,dia,diye,
হচ্ছে,hoche,hochhe,,
করেন,koren,kren,,
বার,bar,baar,vaar,
রয়েছে,royeche,roichhe,roiche,
বা,ba,bah,wa,va
আগে,aage,age,,
কী,ki,kii,ke,
কাজ,kaj,kaz,kaaj,
আরও,arou,aaro,aro,
নেই,neyi,nei,nai,
নয়,noi,noye,noy,
কাছে,kache,kachhe,,
গিয়েছে,giyeche,geyeche,giyechhe,
তাঁদের,tander,tder,tader,
তো,to,tou,,
জানান,janaan,janan,,
জেলা,gelo,geylo,,
সময়,somoy,somai,shomaye,
বছর,bochhor,bochor,,
তাই,taai,tai,,
হল,holo,,,
করার,kar,korar,,
গত,gato,goto,,
এখন,ekhun,ekhon,akhon,
মতো,moton,moto,,
দেখা,dekha,daikha,,
দলের,daleir,daler,doler,
খবর,khobor,khovor,khobr,
তৈরি,toiri,toyri,,
হলে,hole,,,
একটা,akta,aikta,ekta,
তাঁরা,tara,taara,,
বিরুদ্ধে,birudhe,viruddhe,,
দিতে,ditae,dite,,
পারে,pare,pade,,
জন,jan,jon,,
বেশি,vashi,bashi,,
আমরা,amara,amra,,
আমার,amar,amaar,,
প্রায়,praye,prai,paray,
আমাদের,amader,,,
দিকে,dike,,,
নতুন,nuton,notun,,
মনে,mone,,,
তৃণমূল,trinomul,trinomool,,
অনেক,onaik,aonek,onek,
আমি,aami,ami,,
শেষ,des,desh,,
প্রথম,prthom,prothom,,
হয়েছিল,hoyecilo,hoichilo,hoyechilo,
কি,ki,kii,,
অন্য,onno,onne,,
